Date,prcp(mm/day),srad(W/m2),tmax(C),tmin(C),vp(Pa),flow(mm/day)
1980-01-01,0.0,84.37,0.11,-3.0,480.0,0.02158171733355215
1980-01-02,0.0,82.06,-1.02,-4.0,440.0,0.02007601612423456
1980-01-03,0.0,81.53,-1.34,-4.28,440.0,0.02007601612423456
1980-01-04,0.0,122.17,-0.24,-4.83,440.0,0.02007601612423456
1980-01-05,1.89,85.0,-0.54,-3.61,471.07,0.020577916527340423
1980-01-06,0.0,183.5,0.89,-6.54,371.64,0.01857031491491697
1980-01-07,0.99,261.07,-3.9,-15.15,200.0,0.017064613705599377
1980-01-08,0.0,212.07,-8.62,-16.16,166.78,0.01505701209317592
1980-01-09,0.0,239.12,-8.84,-17.87,160.0,0.0125475100776466
1980-01-10,0.0,295.92,9.37,-12.63,239.78,0.012045609674540736
1980-01-11,0.0,295.58,11.15,-9.51,286.32,0.01505701209317592
1980-01-12,0.0,288.32,0.47,-13.83,200.0,0.014555111690070056
1980-01-13,0.0,226.9,8.65,-1.52,551.88,0.01104180886832901
1980-01-14,0.0,262.55,9.45,-5.79,400.0,0.012045609674540736
1980-01-15,0.0,167.14,9.48,3.11,768.29,0.014555111690070056
1980-01-16,28.74,137.35,9.48,2.39,727.02,0.1003800806211728
1980-01-17,4.36,143.14,4.21,-2.96,486.84,0.250950201552932
1980-01-18,0.0,138.73,-0.07,-4.84,440.0,0.1756651410870524
1980-01-19,2.66,96.23,0.14,-3.71,463.52,0.13551310883858328
1980-01-20,1.83,222.29,0.76,-9.5,280.26,0.1129275906988194
1980-01-21,0.0,189.35,1.03,-5.16,427.01,0.0752850604658796
1980-01-22,0.0,204.22,1.03,-5.73,400.0,0.05520904434164504
1980-01-23,0.0,230.78,-3.5,-11.25,259.95,0.04266153426399844
1980-01-24,0.0,298.21,5.82,-7.77,338.09,0.03011402418635184
1980-01-25,0.97,243.57,4.5,-3.97,449.46,0.02258551813976388
1980-01-26,0.0,275.28,-2.54,-12.57,240.0,0.017566514108705238
1980-01-27,0.0,186.85,-9.35,-14.91,200.0,0.015558912496281784
1980-01-28,0.0,177.01,-9.05,-14.21,200.0,0.014555111690070056
1980-01-29,0.0,238.86,-8.37,-15.86,177.05,0.014053211286964191
1980-01-30,3.0,113.93,-9.43,-13.49,203.26,0.013551310883858327
1980-01-31,1.0,326.03,-10.09,-22.18,120.0,0.013049410480752463
1980-02-01,0.0,349.19,-7.86,-23.44,80.0,0.012798460279199531
1980-02-02,0.0,259.97,-4.83,-12.98,232.23,0.0125475100776466
1980-02-03,0.0,302.04,-4.28,-14.67,200.0,0.0125475100776466
1980-02-04,0.0,309.11,-3.31,-14.26,200.0,0.0125475100776466
1980-02-05,3.75,163.29,-1.53,-8.04,329.26,0.013049410480752463
1980-02-06,1.24,270.05,-3.0,-11.37,250.75,0.013551310883858327
1980-02-07,0.0,313.8,-2.96,-13.52,206.99,0.01229655987609367
1980-02-08,0.0,241.87,-2.93,-10.0,280.0,0.012045609674540736
1980-02-09,0.84,357.87,-3.3,-17.18,160.0,0.011794659472987804
1980-02-10,0.0,368.8,-0.96,-14.77,200.0,0.011543709271434872
