Date,prcp(mm/day),srad(W/m2),tmax(C),tmin(C),vp(Pa),flow(mm/day),elev_mean,slope_mean,area,p_mean,pet_mean,aridity,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,carbonate_rocks_frac,geol_permeability,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff
1980-01-01,12.36,143.68,8.45,8.45,862.91,12.094512829064918,592.58,90.33273,16.79,5.16608624229979,3.0671427926078,0.593707237694584,-1.2196940463543,0.138629337971597,27.05,1.84641638225256,274.1,9.50086655112652,0,-15.2,1.06451612903226,0.992698709284248,0.432678904165603,1.68909047687603,0.447750925720897,45.1252883802571,32.7013056139251,22.2788819849488,0.9922,5.34411087943821,2.12445282713393,0.909561799488599,0.0640448461398645
1980-01-02,1.0,237.24,5.93,5.93,683.22,10.345908564621798,592.58,90.33273,16.79,5.16608624229979,3.0671427926078,0.593707237694584,-1.2196940463543,0.138629337971597,27.05,1.84641638225256,274.1,9.50086655112652,0,-15.2,1.06451612903226,0.992698709284248,0.432678904165603,1.68909047687603,0.447750925720897,45.1252883802571,32.7013056139251,22.2788819849488,0.9922,5.34411087943821,2.12445282713393,0.909561799488599,0.0640448461398645
1980-01-03,0.0,242.53,5.07,5.07,622.78,8.597304300178678,592.58,90.33273,16.79,5.16608624229979,3.0671427926078,0.593707237694584,-1.2196940463543,0.138629337971597,27.05,1.84641638225256,274.1,9.50086655112652,0,-15.2,1.06451612903226,0.992698709284248,0.432678904165603,1.68909047687603,0.447750925720897,45.1252883802571,32.7013056139251,22.2788819849488,0.9922,5.34411087943821,2.12445282713393,0.909561799488599,0.0640448461398645
1980-01-04,1.51,163.02,5.52,5.52,677.49,7.285851101846337,592.58,90.33273,16.79,5.16608624229979,3.0671427926078,0.593707237694584,-1.2196940463543,0.138629337971597,27.05,1.84641638225256,274.1,9.50086655112652,0,-15.2,1.06451612903226,0.992698709284248,0.432678904165603,1.68909047687603,0.447750925720897,45.1252883802571,32.7013056139251,22.2788819849488,0.9922,5.34411087943821,2.12445282713393,0.909561799488599,0.0640448461398645
1980-01-05,5.75,132.43,7.52,7.52,826.3,6.411548969624776,592.58,90.33273,16.79,5.16608624229979,3.0671427926078,0.593707237694584,-1.2196940463543,0.138629337971597,27.05,1.84641638225256,274.1,9.50086655112652,0,-15.2,1.06451612903226,0.992698709284248,0.432678904165603,1.68909047687603,0.447750925720897,45.1252883802571,32.7013056139251,22.2788819849488,0.9922,5.34411087943821,2.12445282713393,0.909561799488599,0.0640448461398645
1980-01-06,2.63,111.69,7.81,7.81,857.97,5.682963859440143,592.58,90.33273,16.79,5.16608624229979,3.0671427926078,0.593707237694584,-1.2196940463543,0.138629337971597,27.05,1.84641638225256,274.1,9.50086655112652,0,-15.2,1.06451612903226,0.992698709284248,0.432678904165603,1.68909047687603,0.447750925720897,45.1252883802571,32.7013056139251,22.2788819849488,0.9922,5.34411087943821,2.12445282713393,0.909561799488599,0.0640448461398645
1980-01-07,0.07,213.59,6.78,6.78,784.42,5.100095771292436,592.58,90.33273,16.79,5.16608624229979,3.0671427926078,0.593707237694584,-1.2196940463543,0.138629337971597,27.05,1.84641638225256,274.1,9.50086655112652,0,-15.2,1.06451612903226,0.992698709284248,0.432678904165603,1.68909047687603,0.447750925720897,45.1252883802571,32.7013056139251,22.2788819849488,0.9922,5.34411087943821,2.12445282713393,0.909561799488599,0.0640448461398645
1980-01-08,5.69,152.3,6.41,6.41,746.98,4.662944705181656,592.58,90.33273,16.79,5.16608624229979,3.0671427926078,0.593707237694584,-1.2196940463543,0.138629337971597,27.05,1.84641638225256,274.1,9.50086655112652,0,-15.2,1.06451612903226,0.992698709284248,0.432678904165603,1.68909047687603,0.447750925720897,45.1252883802571,32.7013056139251,22.2788819849488,0.9922,5.34411087943821,2.12445282713393,0.909561799488599,0.0640448461398645
1980-01-09,18.08,131.18,6.25,6.25,748.64,4.954378749255509,592.58,90.33273,16.79,5.16608624229979,3.0671427926078,0.593707237694584,-1.2196940463543,0.138629337971597,27.05,1.84641638225256,274.1,9.50086655112652,0,-15.2,1.06451612903226,0.992698709284248,0.432678904165603,1.68909047687603,0.447750925720897,45.1252883802571,32.7013056139251,22.2788819849488,0.9922,5.34411087943821,2.12445282713393,0.909561799488599,0.0640448461398645
1980-01-10,11.12,177.45,3.61,3.61,608.73,6.411548969624776,592.58,90.33273,16.79,5.16608624229979,3.0671427926078,0.593707237694584,-1.2196940463543,0.138629337971597,27.05,1.84641638225256,274.1,9.50086655112652,0,-15.2,1.06451612903226,0.992698709284248,0.432678904165603,1.68909047687603,0.447750925720897,45.1252883802571,32.7013056139251,22.2788819849488,0.9922,5.34411087943821,2.12445282713393,0.909561799488599,0.0640448461398645
