Date,prcp(mm/day),srad(W/m2),tmax(C),tmin(C),vp(Pa),flow(mm/day),elev_mean,slope_mean,area,p_mean,pet_mean,aridity,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,carbonate_rocks_frac,geol_permeability,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff
1988-07-20,6.59,338.47,22.07,22.07,1817.8,0.25606113156436616,998.82,65.76346,487.29,3.87312525667351,2.48064970568104,0.640477532041291,0.0795221772161191,0.158964457158934,14.7,1.14396887159533,194.6,2.88296296296296,0.0551861036222423,-14.9513,1.53566621803499,0.971606271748853,0.45823324763305,0.993714773236058,0.404412400728793,26.7364301128078,48.5160947851702,19.0022169683536,0.9766,4.70933237842244,4.14805448116218,0.888988997068325,0.528889130110991
1988-07-21,25.43,245.89,21.55,21.55,1860.52,0.8384746857107677,998.82,65.76346,487.29,3.87312525667351,2.48064970568104,0.640477532041291,0.0795221772161191,0.158964457158934,14.7,1.14396887159533,194.6,2.88296296296296,0.0551861036222423,-14.9513,1.53566621803499,0.971606271748853,0.45823324763305,0.993714773236058,0.404412400728793,26.7364301128078,48.5160947851702,19.0022169683536,0.9766,4.70933237842244,4.14805448116218,0.888988997068325,0.528889130110991
1988-07-22,7.12,269.55,19.64,19.64,1697.15,0.9489324287385335,998.82,65.76346,487.29,3.87312525667351,2.48064970568104,0.640477532041291,0.0795221772161191,0.158964457158934,14.7,1.14396887159533,194.6,2.88296296296296,0.0551861036222423,-14.9513,1.53566621803499,0.971606271748853,0.45823324763305,0.993714773236058,0.404412400728793,26.7364301128078,48.5160947851702,19.0022169683536,0.9766,4.70933237842244,4.14805448116218,0.888988997068325,0.528889130110991
1988-07-23,1.93,309.07,18.88,18.88,1552.63,0.34141484208582157,998.82,65.76346,487.29,3.87312525667351,2.48064970568104,0.640477532041291,0.0795221772161191,0.158964457158934,14.7,1.14396887159533,194.6,2.88296296296296,0.0551861036222423,-14.9513,1.53566621803499,0.971606271748853,0.45823324763305,0.993714773236058,0.404412400728793,26.7364301128078,48.5160947851702,19.0022169683536,0.9766,4.70933237842244,4.14805448116218,0.888988997068325,0.528889130110991
1988-07-24,0.78,351.67,18.12,18.12,1430.42,0.185769840546697,998.82,65.76346,487.29,3.87312525667351,2.48064970568104,0.640477532041291,0.0795221772161191,0.158964457158934,14.7,1.14396887159533,194.6,2.88296296296296,0.0551861036222423,-14.9513,1.53566621803499,0.971606271748853,0.45823324763305,0.993714773236058,0.404412400728793,26.7364301128078,48.5160947851702,19.0022169683536,0.9766,4.70933237842244,4.14805448116218,0.888988997068325,0.528889130110991
1988-07-25,2.75,379.56,19.0,19.0,1451.46,0.12552016253155204,998.82,65.76346,487.29,3.87312525667351,2.48064970568104,0.640477532041291,0.0795221772161191,0.158964457158934,14.7,1.14396887159533,194.6,2.88296296296296,0.0551861036222423,-14.9513,1.53566621803499,0.971606271748853,0.45823324763305,0.993714773236058,0.404412400728793,26.7364301128078,48.5160947851702,19.0022169683536,0.9766,4.70933237842244,4.14805448116218,0.888988997068325,0.528889130110991
1988-07-26,5.81,360.77,19.45,19.45,1518.03,0.09037451702271747,998.82,65.76346,487.29,3.87312525667351,2.48064970568104,0.640477532041291,0.0795221772161191,0.158964457158934,14.7,1.14396887159533,194.6,2.88296296296296,0.0551861036222423,-14.9513,1.53566621803499,0.971606271748853,0.45823324763305,0.993714773236058,0.404412400728793,26.7364301128078,48.5160947851702,19.0022169683536,0.9766,4.70933237842244,4.14805448116218,0.888988997068325,0.528889130110991
1988-07-27,3.01,333.53,19.65,19.65,1535.92,0.07531209751893123,998.82,65.76346,487.29,3.87312525667351,2.48064970568104,0.640477532041291,0.0795221772161191,0.158964457158934,14.7,1.14396887159533,194.6,2.88296296296296,0.0551861036222423,-14.9513,1.53566621803499,0.971606271748853,0.45823324763305,0.993714773236058,0.404412400728793,26.7364301128078,48.5160947851702,19.0022169683536,0.9766,4.70933237842244,4.14805448116218,0.888988997068325,0.528889130110991
1988-07-28,0.44,528.09,18.51,18.51,1341.7,0.07029129101766914,998.82,65.76346,487.29,3.87312525667351,2.48064970568104,0.640477532041291,0.0795221772161191,0.158964457158934,14.7,1.14396887159533,194.6,2.88296296296296,0.0551861036222423,-14.9513,1.53566621803499,0.971606271748853,0.45823324763305,0.993714773236058,0.404412400728793,26.7364301128078,48.5160947851702,19.0022169683536,0.9766,4.70933237842244,4.14805448116218,0.888988997068325,0.528889130110991
1988-07-29,0.0,540.78,20.31,20.31,1445.7,0.07531209751893123,998.82,65.76346,487.29,3.87312525667351,2.48064970568104,0.640477532041291,0.0795221772161191,0.158964457158934,14.7,1.14396887159533,194.6,2.88296296296296,0.0551861036222423,-14.9513,1.53566621803499,0.971606271748853,0.45823324763305,0.993714773236058,0.404412400728793,26.7364301128078,48.5160947851702,19.0022169683536,0.9766,4.70933237842244,4.14805448116218,0.888988997068325,0.528889130110991
