Date,prcp(mm/day),srad(W/m2),tmax(C),tmin(C),vp(Pa),flow(mm/day),elev_mean,slope_mean,area,p_mean,pet_mean,aridity,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,carbonate_rocks_frac,geol_permeability,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff
1980-01-01,0.0,232.13,-2.16,-2.16,318.2,1.201343383037874,507.14,40.91626,553.94,3.19507871321013,2.2969073100616,0.718889115490327,0.165405170969813,0.176741266621108,18.8,1.11904761904762,230.75,3.31061692969871,0,-14.736,3.3572228443449,1.49993662137042,0.453964374813105,1.26622129644483,0.654835128669919,31.8887735214922,52.6443134275643,15.5473393190907,0.9549,4.31637738507356,3.77238078146297,0.848866707788932,0.485315140301703
1980-01-02,0.0,230.8,-2.91,-2.91,310.42,1.0290919420875904,507.14,40.91626,553.94,3.19507871321013,2.2969073100616,0.718889115490327,0.165405170969813,0.176741266621108,18.8,1.11904761904762,230.75,3.31061692969871,0,-14.736,3.3572228443449,1.49993662137042,0.453964374813105,1.26622129644483,0.654835128669919,31.8887735214922,52.6443134275643,15.5473393190907,0.9549,4.31637738507356,3.77238078146297,0.848866707788932,0.485315140301703
1980-01-03,0.0,170.27,-2.56,-2.56,335.77,0.8877574264360759,507.14,40.91626,553.94,3.19507871321013,2.2969073100616,0.718889115490327,0.165405170969813,0.176741266621108,18.8,1.11904761904762,230.75,3.31061692969871,0,-14.736,3.3572228443449,1.49993662137042,0.453964374813105,1.26622129644483,0.654835128669919,31.8887735214922,52.6443134275643,15.5473393190907,0.9549,4.31637738507356,3.77238078146297,0.848866707788932,0.485315140301703
1980-01-04,1.45,212.69,-7.59,-7.59,219.07,0.7685064288551104,507.14,40.91626,553.94,3.19507871321013,2.2969073100616,0.718889115490327,0.165405170969813,0.176741266621108,18.8,1.11904761904762,230.75,3.31061692969871,0,-14.736,3.3572228443449,1.49993662137042,0.453964374813105,1.26622129644483,0.654835128669919,31.8887735214922,52.6443134275643,15.5473393190907,0.9549,4.31637738507356,3.77238078146297,0.848866707788932,0.485315140301703
1980-01-05,0.38,220.49,-8.19,-8.19,211.33,0.675755652958804,507.14,40.91626,553.94,3.19507871321013,2.2969073100616,0.718889115490327,0.165405170969813,0.176741266621108,18.8,1.11904761904762,230.75,3.31061692969871,0,-14.736,3.3572228443449,1.49993662137042,0.453964374813105,1.26622129644483,0.654835128669919,31.8887735214922,52.6443134275643,15.5473393190907,0.9549,4.31637738507356,3.77238078146297,0.848866707788932,0.485315140301703
1980-01-06,0.05,237.95,-8.76,-8.76,192.13,0.6050883951330468,507.14,40.91626,553.94,3.19507871321013,2.2969073100616,0.718889115490327,0.165405170969813,0.176741266621108,18.8,1.11904761904762,230.75,3.31061692969871,0,-14.736,3.3572228443449,1.49993662137042,0.453964374813105,1.26622129644483,0.654835128669919,31.8887735214922,52.6443134275643,15.5473393190907,0.9549,4.31637738507356,3.77238078146297,0.848866707788932,0.485315140301703
1980-01-07,0.01,281.91,-6.6,-6.6,217.6,0.5388378409213993,507.14,40.91626,553.94,3.19507871321013,2.2969073100616,0.718889115490327,0.165405170969813,0.176741266621108,18.8,1.11904761904762,230.75,3.31061692969871,0,-14.736,3.3572228443449,1.49993662137042,0.453964374813105,1.26622129644483,0.654835128669919,31.8887735214922,52.6443134275643,15.5473393190907,0.9549,4.31637738507356,3.77238078146297,0.848866707788932,0.485315140301703
1980-01-08,0.0,283.33,-5.12,-5.12,240.4,0.4990875083944109,507.14,40.91626,553.94,3.19507871321013,2.2969073100616,0.718889115490327,0.165405170969813,0.176741266621108,18.8,1.11904761904762,230.75,3.31061692969871,0,-14.736,3.3572228443449,1.49993662137042,0.453964374813105,1.26622129644483,0.654835128669919,31.8887735214922,52.6443134275643,15.5473393190907,0.9549,4.31637738507356,3.77238078146297,0.848866707788932,0.485315140301703
1980-01-09,0.01,252.71,-6.36,-6.36,223.07,0.468170583095642,507.14,40.91626,553.94,3.19507871321013,2.2969073100616,0.718889115490327,0.165405170969813,0.176741266621108,18.8,1.11904761904762,230.75,3.31061692969871,0,-14.736,3.3572228443449,1.49993662137042,0.453964374813105,1.26622129644483,0.654835128669919,31.8887735214922,52.6443134275643,15.5473393190907,0.9549,4.31637738507356,3.77238078146297,0.848866707788932,0.485315140301703
1980-01-10,0.0,289.98,-8.53,-8.53,188.71,0.43725365779687325,507.14,40.91626,553.94,3.19507871321013,2.2969073100616,0.718889115490327,0.165405170969813,0.176741266621108,18.8,1.11904761904762,230.75,3.31061692969871,0,-14.736,3.3572228443449,1.49993662137042,0.453964374813105,1.26622129644483,0.654835128669919,31.8887735214922,52.6443134275643,15.5473393190907,0.9549,4.31637738507356,3.77238078146297,0.848866707788932,0.485315140301703
1980-01-11,2.4,249.24,-5.26,-5.26,246.26,0.42400354695454373,507.14,40.91626,553.94,3.19507871321013,2.2969073100616,0.718889115490327,0.165405170969813,0.176741266621108,18.8,1.11904761904762,230.75,3.31061692969871,0,-14.736,3.3572228443449,1.49993662137042,0.453964374813105,1.26622129644483,0.654835128669919,31.8887735214922,52.6443134275643,15.5473393190907,0.9549,4.31637738507356,3.77238078146297,0.848866707788932,0.485315140301703
