Date,prcp(mm/day),srad(W/m2),tmax(C),tmin(C),vp(Pa),flow(mm/day)
1986-10-01,2.46,235.4,11.44,2.67,747.4,0.0036682083732821986
1986-10-02,6.62,133.07,9.46,3.95,816.06,0.0036682083732821986
1986-10-03,4.85,192.29,11.39,3.66,803.16,0.0036682083732821986
1986-10-04,0.0,357.97,14.14,1.44,682.16,0.0036682083732821986
1986-10-05,0.0,379.85,15.86,1.54,685.28,0.0036682083732821986
1986-10-06,0.0,376.98,17.78,3.23,767.96,0.0036682083732821986
1986-10-07,0.0,379.02,19.0,3.92,804.76,0.0036682083732821986
1986-10-08,0.0,385.94,20.84,4.67,843.8,0.0036682083732821986
1986-10-09,0.0,376.98,21.41,5.66,908.86,0.0036682083732821986
1986-10-10,0.0,357.39,20.26,5.85,932.52,0.0036682083732821986
1986-10-11,1.1,349.58,15.78,2.0,714.51,0.0035716765739852987
1986-10-12,0.0,369.99,10.33,-4.34,458.86,0.0035716765739852987
1986-10-13,0.0,382.83,14.23,-2.36,517.63,0.0035716765739852987
1986-10-14,0.0,376.55,17.34,0.43,635.32,0.0035716765739852987
1986-10-15,0.0,375.98,18.39,0.94,650.17,0.0035716765739852987
1986-10-16,0.0,366.83,19.84,2.63,736.74,0.0035716765739852987
1986-10-17,0.0,317.48,19.83,6.45,968.99,0.0035716765739852987
1986-10-18,3.74,249.72,17.33,4.96,876.46,0.0034751447746883993
1986-10-19,4.04,218.5,13.96,3.26,779.9,0.0034751447746883993
1986-10-20,2.21,251.98,13.3,2.64,748.03,0.0034751447746883993
1986-10-21,0.0,281.82,13.48,2.34,725.16,0.0034751447746883993
1986-10-22,0.56,233.65,14.6,5.75,926.67,0.0034751447746883993
1986-10-23,0.0,297.17,16.29,3.83,810.16,0.0034751447746883993
1986-10-24,0.0,312.87,17.66,3.75,804.02,0.0034751447746883993
1986-10-25,0.0,314.38,17.73,3.3,777.43,0.0034751447746883993
1986-10-26,0.0,323.88,18.83,2.93,753.83,0.0033786129753914985
1986-10-27,0.0,304.37,19.8,5.05,879.39,0.0033786129753914985
1986-10-28,0.0,293.27,17.5,3.71,803.3,0.0033786129753914985
1986-10-29,0.0,288.69,18.54,4.64,852.04,0.0033786129753914985
1986-10-30,2.29,231.76,16.12,3.62,799.14,0.0033786129753914985
1986-10-31,0.36,238.82,10.42,-0.42,598.3,0.0033786129753914985
1986-11-01,0.0,195.18,10.72,2.34,730.62,0.0033786129753914985
1986-11-02,0.0,251.18,11.36,-0.43,604.53,0.003282081176094599
1986-11-03,0.0,264.72,12.36,-0.49,593.62,0.003282081176094599
1986-11-04,0.0,275.13,13.58,-0.37,598.58,0.003282081176094599
1986-11-05,0.0,279.08,15.55,0.84,653.0,0.003282081176094599
1986-11-06,13.86,204.89,12.74,-1.33,559.97,0.003282081176094599
1986-11-07,13.23,133.39,3.55,-3.86,469.71,0.003282081176094599
1986-11-08,2.8,163.76,2.93,-4.52,448.14,0.0031855493767976987
1986-11-09,0.0,218.0,4.61,-4.96,432.06,0.0031855493767976987
1986-11-10,0.13,210.43,3.73,-5.24,425.26,0.0031855493767976987
1986-11-11,0.0,275.99,6.6,-6.96,371.03,0.0031855493767976987
1986-11-12,0.0,212.85,7.95,-1.46,553.3,0.0031855493767976987
1986-11-13,0.0,263.08,9.9,-2.88,498.98,0.0030890175775007992
1986-11-14,0.0,254.92,12.59,0.06,615.38,0.0030890175775007992
1986-11-15,0.0,233.37,12.69,1.89,705.93,0.002992485778203899
1986-11-16,0.0,245.18,11.79,-0.14,607.1,0.002992485778203899
1986-11-17,0.0,212.8,12.38,2.63,740.68,0.002895953978906999
1986-11-18,2.65,204.4,10.65,-0.45,593.39,0.002895953978906999
1986-11-19,1.05,181.16,9.85,1.27,671.64,0.002799422179610099
1986-11-20,0.0,257.16,12.3,-1.09,567.07,0.002799422179610099
1986-11-21,1.73,194.33,11.18,1.42,682.84,0.002702890380313199
1986-11-22,2.07,187.98,5.6,-3.97,468.88,0.002702890380313199
1986-11-23,0.75,206.48,5.31,-4.41,451.78,0.0026063585810162993
1986-11-24,0.0,248.53,9.27,-3.57,476.86,0.002509826781719399
1986-11-25,0.0,199.68,7.01,-1.98,533.02,0.002509826781719399
1986-11-26,0.0,256.57,7.72,-5.75,401.35,0.0024132949824224995
1986-11-27,0.0,266.29,10.65,-4.91,434.38,0.002316763183125599
1986-11-28,0.0,212.61,11.42,0.89,654.29,0.002316763183125599
1986-11-29,0.0,210.49,11.85,1.53,682.61,0.0021236995845317994
1986-11-30,1.43,198.62,6.02,-3.83,467.82,0.0020271677852348995
1986-12-01,0.0,243.77,6.72,-6.33,381.64,0.0019306359859379994
1986-12-02,0.0,254.84,8.99,-5.86,398.12,0.0018341041866410993
1986-12-03,0.0,229.5,7.84,-4.22,449.03,0.0017375723873441996
1986-12-04,0.0,234.84,8.07,-4.7,430.56,0.0015445087887503996
1986-12-05,0.0,214.27,11.79,0.17,617.75,0.0012549133908596995
1986-12-06,1.26,174.26,8.36,-0.4,599.38,0.0012549133908596995
1986-12-07,0.0,134.98,3.49,-2.47,514.32,0.0011583815915627996
1986-12-08,0.0,139.29,1.87,-4.26,454.24,0.0011583815915627996
1986-12-09,1.75,169.48,-0.42,-8.53,330.13,0.0011583815915627996
1986-12-10,0.0,233.69,-0.46,-12.01,247.05,0.0011583815915627996
1986-12-11,0.0,229.11,0.14,-11.15,264.37,0.0012549133908596995
1986-12-12,0.0,244.8,3.32,-9.71,294.93,0.0012549133908596995
1986-12-13,0.0,254.05,4.86,-9.54,298.75,0.0012549133908596995
1986-12-14,0.0,245.62,6.54,-6.93,362.92,0.0012549133908596995
1986-12-15,0.0,244.8,6.97,-6.57,378.16,0.0012549133908596995
1986-12-16,0.0,231.0,7.09,-5.1,422.58,0.0012549133908596995
1986-12-17,0.0,237.48,4.73,-8.08,328.05,0.0012549133908596995
1986-12-18,0.0,221.89,3.02,-8.41,322.68,0.0012549133908596995
1986-12-19,0.0,201.1,4.75,-5.18,421.72,0.0012549133908596995
1986-12-20,0.0,192.2,3.31,-5.92,394.62,0.0012549133908596995
1986-12-21,0.0,200.93,2.21,-7.78,346.78,0.0011583815915627996
1986-12-22,0.0,205.48,1.67,-8.6,319.0,0.0011583815915627996
1986-12-23,0.0,175.27,1.2,-7.06,363.26,0.0012549133908596995
1986-12-24,0.0,199.86,1.32,-8.33,326.1,0.0012549133908596995
