Date,prcp(mm/day),srad(W/m2),tmax(C),tmin(C),vp(Pa),flow(mm/day),elev_mean,slope_mean,area,p_mean,pet_mean,aridity,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,carbonate_rocks_frac,geol_permeability,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff
1980-01-01,0.0,83.8,0.16,0.16,503.19,0.006754353107469411,203.55,4.21758,905.56,2.75290622861054,2.5343523340178,0.920609756946551,0.38050476374675,0.0758324970984556,23.5,1.27371273712737,270.4,4.99815157116451,0.789407744611313,-12.7395,44.2221412964312,1.50000001490116,0.4736260087054,0.614148341530002,0.712876464526889,14.4107234872279,55.7804027840438,29.4885511965821,0.1464,2.1243283379528,1.89536379240217,0.722141163130126,0.521633228620106
1980-01-02,0.0,50.53,-1.11,-1.11,483.18,0.006754353107469411,203.55,4.21758,905.56,2.75290622861054,2.5343523340178,0.920609756946551,0.38050476374675,0.0758324970984556,23.5,1.27371273712737,270.4,4.99815157116451,0.789407744611313,-12.7395,44.2221412964312,1.50000001490116,0.4736260087054,0.614148341530002,0.712876464526889,14.4107234872279,55.7804027840438,29.4885511965821,0.1464,2.1243283379528,1.89536379240217,0.722141163130126,0.521633228620106
1980-01-03,0.04,70.0,-1.71,-1.71,456.49,0.006754353107469411,203.55,4.21758,905.56,2.75290622861054,2.5343523340178,0.920609756946551,0.38050476374675,0.0758324970984556,23.5,1.27371273712737,270.4,4.99815157116451,0.789407744611313,-12.7395,44.2221412964312,1.50000001490116,0.4736260087054,0.614148341530002,0.712876464526889,14.4107234872279,55.7804027840438,29.4885511965821,0.1464,2.1243283379528,1.89536379240217,0.722141163130126,0.521633228620106
1980-01-04,0.1,91.77,-2.24,-2.24,424.17,0.005673656610274306,203.55,4.21758,905.56,2.75290622861054,2.5343523340178,0.920609756946551,0.38050476374675,0.0758324970984556,23.5,1.27371273712737,270.4,4.99815157116451,0.789407744611313,-12.7395,44.2221412964312,1.50000001490116,0.4736260087054,0.614148341530002,0.712876464526889,14.4107234872279,55.7804027840438,29.4885511965821,0.1464,2.1243283379528,1.89536379240217,0.722141163130126,0.521633228620106
1980-01-05,0.04,116.16,-1.87,-1.87,431.81,0.005673656610274306,203.55,4.21758,905.56,2.75290622861054,2.5343523340178,0.920609756946551,0.38050476374675,0.0758324970984556,23.5,1.27371273712737,270.4,4.99815157116451,0.789407744611313,-12.7395,44.2221412964312,1.50000001490116,0.4736260087054,0.614148341530002,0.712876464526889,14.4107234872279,55.7804027840438,29.4885511965821,0.1464,2.1243283379528,1.89536379240217,0.722141163130126,0.521633228620106
1980-01-06,1.36,142.41,-0.06,-0.06,448.6,0.005403482485975529,203.55,4.21758,905.56,2.75290622861054,2.5343523340178,0.920609756946551,0.38050476374675,0.0758324970984556,23.5,1.27371273712737,270.4,4.99815157116451,0.789407744611313,-12.7395,44.2221412964312,1.50000001490116,0.4736260087054,0.614148341530002,0.712876464526889,14.4107234872279,55.7804027840438,29.4885511965821,0.1464,2.1243283379528,1.89536379240217,0.722141163130126,0.521633228620106
1980-01-07,0.45,263.27,-4.16,-4.16,270.29,0.005403482485975529,203.55,4.21758,905.56,2.75290622861054,2.5343523340178,0.920609756946551,0.38050476374675,0.0758324970984556,23.5,1.27371273712737,270.4,4.99815157116451,0.789407744611313,-12.7395,44.2221412964312,1.50000001490116,0.4736260087054,0.614148341530002,0.712876464526889,14.4107234872279,55.7804027840438,29.4885511965821,0.1464,2.1243283379528,1.89536379240217,0.722141163130126,0.521633228620106
1980-01-08,0.0,173.77,-7.04,-7.04,224.48,0.005133308361676752,203.55,4.21758,905.56,2.75290622861054,2.5343523340178,0.920609756946551,0.38050476374675,0.0758324970984556,23.5,1.27371273712737,270.4,4.99815157116451,0.789407744611313,-12.7395,44.2221412964312,1.50000001490116,0.4736260087054,0.614148341530002,0.712876464526889,14.4107234872279,55.7804027840438,29.4885511965821,0.1464,2.1243283379528,1.89536379240217,0.722141163130126,0.521633228620106
1980-01-09,0.0,229.89,-9.59,-9.59,207.44,0.0048631342373779765,203.55,4.21758,905.56,2.75290622861054,2.5343523340178,0.920609756946551,0.38050476374675,0.0758324970984556,23.5,1.27371273712737,270.4,4.99815157116451,0.789407744611313,-12.7395,44.2221412964312,1.50000001490116,0.4736260087054,0.614148341530002,0.712876464526889,14.4107234872279,55.7804027840438,29.4885511965821,0.1464,2.1243283379528,1.89536379240217,0.722141163130126,0.521633228620106
1980-01-10,0.0,275.76,-1.78,-1.78,305.46,0.0048631342373779765,203.55,4.21758,905.56,2.75290622861054,2.5343523340178,0.920609756946551,0.38050476374675,0.0758324970984556,23.5,1.27371273712737,270.4,4.99815157116451,0.789407744611313,-12.7395,44.2221412964312,1.50000001490116,0.4736260087054,0.614148341530002,0.712876464526889,14.4107234872279,55.7804027840438,29.4885511965821,0.1464,2.1243283379528,1.89536379240217,0.722141163130126,0.521633228620106
