Date,prcp(mm/day),srad(W/m2),tmax(C),tmin(C),vp(Pa),flow(mm/day)
1980-01-01,6.6,67.72,9.81,5.93,934.24,33.531592237371505
1980-01-02,0.0,130.23,10.03,4.31,832.95,20.661582768670826
1980-01-03,0.0,156.41,12.36,5.24,888.07,14.26136184369535
1980-01-04,4.06,89.02,11.29,6.17,941.8,10.817764715583547
1980-01-05,18.41,97.02,11.35,5.77,926.79,11.130818999957347
1980-01-06,3.86,133.95,11.78,3.38,781.86,10.748197096833813
1980-01-07,0.0,153.12,7.54,0.87,650.32,8.800303771841278
1980-01-08,0.0,152.95,8.5,1.96,704.23,7.687221871845543
1980-01-09,11.2,80.93,5.48,1.18,673.5,7.061113303097941
1980-01-10,15.74,104.62,2.3,-3.34,481.94,7.30459996872201
1980-01-11,12.67,170.22,11.08,-1.24,560.19,8.452465678092612
1980-01-12,57.09,53.47,11.24,8.49,1119.49,81.74195203093677
1980-01-13,37.7,46.05,9.85,7.55,1046.49,95.30763768713479
1980-01-14,31.81,100.49,8.86,3.57,796.73,79.3070853746961
1980-01-15,19.42,117.95,7.89,1.54,684.9,53.219228343546064
1980-01-16,37.44,62.39,9.33,6.17,949.39,47.65381884356739
1980-01-17,15.02,141.93,7.39,-0.47,597.6,40.349218874845384
1980-01-18,0.0,215.06,6.59,-2.81,498.2,26.47047893427357
1980-01-19,0.0,237.51,10.32,-1.29,557.64,18.991959918677225
1980-01-20,0.0,238.09,12.51,0.86,646.39,14.470064699944551
1980-01-21,0.0,265.79,15.73,-2.17,522.29,11.269954237456814
1980-01-22,0.0,246.1,17.45,4.42,841.36,9.182925674964812
1980-01-23,0.0,245.13,16.69,4.25,830.81,7.687221871845543
1980-01-24,0.0,215.22,12.09,2.99,757.8,6.539356162474942
1980-01-25,0.0,250.21,11.89,0.13,617.32,5.6697609281032735
1980-01-26,0.0,245.4,8.22,-2.44,512.71,4.939300931231073
1980-01-27,0.0,208.71,4.32,-3.52,474.97,4.417543790608073
1980-01-28,0.0,259.57,3.87,-7.31,355.2,3.930570459359938
1980-01-29,0.0,257.52,3.49,-7.31,351.1,3.582732365611271
1980-01-30,0.0,272.72,7.3,-5.04,424.53,3.2627213193624973
1980-01-31,10.86,132.18,8.11,1.91,700.85,3.0401049393633506
1980-02-01,12.92,85.94,9.91,6.07,940.78,3.314897033424798
1980-02-02,31.01,89.32,10.21,6.3,958.3,4.834949503106473
1980-02-03,33.6,107.39,11.11,6.38,964.2,20.93985324366976
1980-02-04,1.01,207.02,11.1,3.68,797.37,13.287415181199083
1980-02-05,9.98,86.14,9.82,6.19,942.12,9.669899006212946
1980-02-06,6.93,145.29,9.75,3.45,785.84,9.635115196838079
1980-02-07,0.0,261.18,11.65,1.88,698.55,8.313330440593143
1980-02-08,0.0,269.92,12.61,2.17,714.8,7.026329493723075
